num_lectures,price,days_since_published,content_duration
304,20,2381,15.5
8,0,2082,1.0
12,25,1845,0.7
33,200,3047,2.5
48,30,1844,3.5
24,50,1710,1.0
47,60,2515,13.0
15,35,2756,2.0
38,100,1806,6.0
24,20,2257,2.0
34,200,1627,1.5
29,200,2136,2.0
110,50,2822,7.5
6,50,2019,0.6833333333333333
18,40,1892,2.0
15,50,2191,3.0
15,0,1565,3.0
25,195,2353,1.5
12,0,1691,0.5
11,20,2233,1.0
24,115,2349,2.0
97,45,3158,10.0
36,0,2577,4.5
7,0,1572,0.5833333333333334
14,20,2678,1.5
24,100,1815,2.0
43,75,1551,1.0
41,90,2710,3.5
113,75,2748,10.0
14,45,1838,1.0
24,0,1551,1.5
21,35,2029,1.0
13,20,2481,1.5
8,20,2250,0.6833333333333333
14,50,2368,3.5
40,95,2929,5.5
38,195,1986,5.0
21,30,1969,2.5
39,40,2948,3.0
5,20,2312,1.0
54,40,1967,11.5
21,20,2242,1.0
47,100,1684,3.5
10,20,2048,0.7333333333333333
7,20,1822,1.0
20,0,2552,3.0
6,40,2364,1.5
246,200,2234,32.5
18,95,1842,1.5
49,100,2234,9.0
19,35,2208,2.0
27,0,2088,3.0
9,20,1850,0.7333333333333333
188,200,1929,22.5
69,0,1975,5.0
20,40,1895,1.5
163,50,2033,10.5
48,20,2723,12.5
8,25,1562,2.0
12,20,1942,2.5
9,50,1551,2.0
195,20,3260,18.0
8,0,1757,1.0
20,200,1955,4.0
9,45,1685,1.0
14,20,2668,1.5
16,50,2711,4.0
19,150,1836,2.0
17,20,2154,3.0
8,0,2609,0.5833333333333334
22,50,2085,1.5
53,0,2285,3.0
33,95,2402,2.5
10,0,1557,2.0
10,20,2849,0.6333333333333333
83,100,1927,5.0
17,50,2151,0.6333333333333333
79,50,2257,15.0
56,50,1797,1.5
19,50,2760,3.0
32,20,2124,2.0
62,40,2117,3.5
16,20,2314,1.5
20,30,1830,1.5
86,95,1613,12.0
13,75,1555,2.5
33,50,2695,3.5
8,20,1774,1.0
45,60,2047,1.0
9,20,1696,1.0
13,20,2104,1.0
158,150,1747,30.0
24,85,1768,0.65
24,200,1606,3.0
37,200,1589,6.0
20,20,1678,2.0
17,0,1646,1.5
22,50,2760,4.0
25,25,1842,1.0
18,20,2338,2.0
20,200,2086,2.5
6,20,1593,0.5333333333333333
36,195,2229,3.5
29,195,1982,2.5
9,45,2059,2.0
16,200,1639,1.0
154,20,2168,14.5
4,35,2189,0.55
8,30,1732,2.0
59,95,1593,4.5
15,50,1831,1.5
26,95,1670,2.5
104,115,2289,5.5
29,100,1584,1.5
13,95,1725,1.0
22,150,2030,1.5
88,200,1803,7.0
35,25,2802,8.5
304,200,2033,30.5
10,95,1732,1.0
53,55,2487,3.0
5,20,2753,1.0
19,35,1620,1.0
103,195,1646,6.5
24,50,2094,3.5
14,80,2310,0.5
27,20,2213,3.0
49,50,1614,3.0
19,105,2475,2.0
75,50,3181,12.5
55,30,1808,4.5
5,20,2454,0.55
171,65,1718,19.0
235,100,1851,19.5
48,30,2054,3.0
12,25,1655,0.5
16,25,2878,4.5
19,20,2376,2.5
37,0,1768,2.5
104,110,2076,14.0
39,20,2226,4.0
7,40,1772,0.5833333333333334
6,0,2428,1.5
7,20,1593,1.0
7,40,1962,1.5
19,30,1606,3.0
26,50,1752,1.0
88,50,2465,6.0
51,50,2950,7.5
23,0,1939,2.0
10,20,1621,2.5
14,20,3165,1.5
9,20,1950,1.0
47,40,2156,0.7333333333333333
74,20,2124,4.0
14,0,2596,1.0
86,50,2755,5.5
13,20,2138,3.5
8,20,2478,0.6
31,0,2222,1.5
29,20,2926,2.5
39,25,2653,2.0
15,20,2151,2.5
6,20,2667,0.4833333333333333
32,195,2745,14.0
24,50,2790,5.5
19,0,1587,2.5
8,20,2083,0.6166666666666667
16,35,2771,2.0
